,species,kind,spot,cpgi1,cpgi2,prdm9,crossover,cpgi1_cond,cpgi2_cond,prdm9_cond,crossover_cond
773,corn,446,hotspots,0.0390002948982601,0.10165118679050568,0.0979655019902698,0.0009301604526780869,0.04187649085608269,0.10280869104398516,0.09138175515991807,0.0006602839220864972
774,corn,447,coldspots,0.04379239162488941,0.1121922453191803,0.09789178829426508,0.0008526470816215797,0.04341627786417833,0.11285307074371599,0.09542697153523098,0.0009719353662981412
775,corn,447,hotspots,0.03509289295193158,0.09486952675807164,0.09700722394220847,0.0013177273079606232,0.03604558706599523,0.0965818759936407,0.0915393099101938,0.0006602839220864972
776,corn,448,coldspots,0.0453406074904158,0.11602535751142562,0.10194604157452454,0.0009301604526780869,0.044582685329186106,0.11738792433272868,0.10102659822678488,0.0010934272870854087
777,corn,448,hotspots,0.03826304924800944,0.10201975527052927,0.09730207872622733,0.0010851871947911015,0.03935860058309038,0.10280869104398516,0.0939026311643296,0.0004952129415648729
778,corn,449,coldspots,0.04298142140961368,0.11440365619932183,0.09980834439038773,0.0013177273079606232,0.044971487817522034,0.1190722985229334,0.10114325711619225,0.0008504434455108735
779,corn,449,hotspots,0.03501916838690652,0.10054548135043491,0.09833407047029338,0.0014727540500736377,0.035515504903260005,0.09817170111287758,0.09342996691350244,0.001650709805216243
780,corn,45,coldspots,0.04475081097021528,0.1130030959752322,0.10209346896653398,0.0010851871947911015,0.044582685329186106,0.11363047421611816,0.1034764349043397,0.0006074596039363382
781,corn,45,hotspots,0.03700973164258331,0.09818664307828394,0.09767064720625092,0.0008526470816215797,0.03644314868804665,0.10029146793852677,0.09579328816763825,0.0006602839220864972
782,corn,450,coldspots,0.04393984075493955,0.11602535751142562,0.1001031991744066,0.0013177273079606232,0.04652669777086573,0.11674008810572688,0.10032664489034064,0.001336411128659944
783,corn,450,hotspots,0.034871719256856386,0.09545923632610939,0.09907120743034056,0.0014727540500736377,0.03114232706069441,0.09499205087440382,0.09122420040964235,0.0009904258831297458
784,corn,451,coldspots,0.047626069006192866,0.12044817927170869,0.10017691287041132,0.0008526470816215797,0.0475635044064282,0.12257061414874319,0.1000933271115259,0.0004859676831490706
785,corn,451,hotspots,0.03575641403715718,0.09870263895031697,0.09936606221435942,0.0010076738237345942,0.03578054598462762,0.09684684684684684,0.0968961714195683,0.0006602839220864972
786,corn,452,coldspots,0.045414332055440876,0.1121922453191803,0.10459973463069439,0.0013177273079606232,0.044582685329186106,0.11220523451671417,0.1039430704619692,0.0010934272870854087
787,corn,452,hotspots,0.03671483338248304,0.09980834439038773,0.10143004570249152,0.00046508022633904347,0.03578054598462762,0.0996290408055114,0.1052465731841815,0.0006602839220864972
788,corn,453,coldspots,0.0394426422884105,0.11278195488721804,0.10150375939849623,0.0009301604526780869,0.039009849663037846,0.11440787768852034,0.10674288380774614,0.0006074596039363382
789,corn,453,hotspots,0.03509289295193158,0.09582780480613298,0.09929234851835471,0.0009301604526780869,0.03392525841505433,0.09578696343402225,0.09815660942177407,0.00115549686365137
790,corn,454,coldspots,0.044161014450014746,0.11116025357511426,0.10482087571870853,0.0010076738237345942,0.042768273716951785,0.10598600673749677,0.10569295380307979,0.0006074596039363382
791,corn,454,hotspots,0.03590386316720731,0.09169983782986879,0.09862892525431226,0.0010076738237345942,0.036575669228730456,0.09777424483306836,0.1014652591775642,0.0008253549026081215
792,corn,455,coldspots,0.044824535535240344,0.11484593837535013,0.0984077841662981,0.0013952406790171303,0.04419388284085018,0.11531484840632288,0.10114325711619225,0.0014579030494472117
793,corn,455,hotspots,0.03936891772338543,0.10201975527052927,0.09693351024620374,0.0008526470816215797,0.03882851842035515,0.10426603073661897,0.08964865290688515,0.00115549686365137
794,corn,456,coldspots,0.04769979357121793,0.11838419578357659,0.09936606221435942,0.001240213936904116,0.04704510108864697,0.12386628660274683,0.0996266915538964,0.0010934272870854087
795,corn,456,hotspots,0.03546151577705692,0.09980834439038773,0.09826035677428867,0.0011627005658476088,0.03564802544394381,0.10042395336512984,0.09201197416102096,0.0013205678441729944
796,corn,457,coldspots,0.04460336184016514,0.11108653987910953,0.10518944419873212,0.0011627005658476088,0.04613789528252981,0.10922518787250583,0.1039430704619692,0.0009719353662981412
797,corn,457,hotspots,0.03841049837805957,0.10143004570249152,0.1017249004865104,0.0011627005658476088,0.04002120328650941,0.10453100158982512,0.0968961714195683,0.00115549686365137
798,corn,458,coldspots,0.04342376879976408,0.11565678903140203,0.1029780333185906,0.0010851871947911015,0.04393468118195956,0.1149261466701218,0.10230984601026598,0.0009719353662981412
