,distance,mean,median,low_ci,high_ci,kind,nbins
57,8500,0.004944510249749945,0.001432,0.004794792248143792,0.005103855027802617,KmerZFs_5_0,120159
58,9000,0.004909357814221293,0.0014389,0.0047876365057956255,0.005021240715190597,KmerZFs_5_0,117568
59,9500,0.004922336576077684,0.0014506,0.004804918356563569,0.005076282775258509,KmerZFs_5_0,115083
60,0,0.005479023615582635,0.001371,0.005337248854840718,0.005587897234816767,KmerZFs_6_0,233069
61,500,0.004922370149076249,0.0013682766,0.0047981979372675185,0.005026353972303276,KmerZFs_6_0,200251
62,1000,0.0046975070875573495,0.0013599,0.004598758627986598,0.00481132041207039,KmerZFs_6_0,195209
63,1500,0.00459551884260231,0.0013552,0.004511798816111567,0.00468731354307324,KmerZFs_6_0,190387
64,2000,0.004547520794980021,0.0013596,0.004454985720964705,0.00462392846403972,KmerZFs_6_0,183839
65,2500,0.004423352694612272,0.0013569,0.004337381710235279,0.004498318551841341,KmerZFs_6_0,177737
66,3000,0.004431465461590455,0.0013584,0.0043495606831701365,0.004525759962889675,KmerZFs_6_0,172482
67,3500,0.004454182380822433,0.001357,0.004353019548986692,0.0045658119830170605,KmerZFs_6_0,168157
68,4000,0.004520079547078259,0.00135825,0.004423933161112684,0.004617087698298045,KmerZFs_6_0,163956
69,4500,0.004589539799288867,0.0013557,0.0044585668264296476,0.004709320035342197,KmerZFs_6_0,160005
70,5000,0.004534010161642066,0.0013564,0.004407622459603605,0.004651841635937788,KmerZFs_6_0,155801
71,5500,0.004454008211043886,0.0013583,0.004329275421660681,0.0045972338117920486,KmerZFs_6_0,151843
72,6000,0.004607038183926808,0.0013634,0.004482813229863979,0.004729301108712567,KmerZFs_6_0,148087
73,6500,0.004614713137567265,0.0013717,0.004498220245135531,0.004725652500964368,KmerZFs_6_0,144718
74,7000,0.004662705474365168,0.0013802,0.004539847938062615,0.0048094169371543875,KmerZFs_6_0,141137
75,7500,0.004704662773633968,0.0013799,0.004587729082530119,0.004851523400343464,KmerZFs_6_0,137833
76,8000,0.004672989777684402,0.0013876,0.004548220194881546,0.004788478388422088,KmerZFs_6_0,134609
77,8500,0.004582048676667229,0.0013963,0.004474241888068264,0.004684989439216853,KmerZFs_6_0,131111
78,9000,0.004589800117222867,0.001401,0.004458949611112639,0.004706510964610306,KmerZFs_6_0,128047
79,9500,0.004600259281120857,0.0014143,0.004448379434982683,0.00473997886068615,KmerZFs_6_0,124949
80,0,0.005711921852379199,0.0016449,0.005647546154040204,0.005798844528661814,KmerZFs_6_1,191577
81,500,0.0052968036714068165,0.00155303,0.005218025104165021,0.005392623024667826,KmerZFs_6_1,165153
82,1000,0.004938285088945045,0.001506196,0.004855123826983924,0.005035961310213642,KmerZFs_6_1,161877
83,1500,0.004727762623456685,0.0014749,0.004649400675616124,0.004807640470377579,KmerZFs_6_1,158383
84,2000,0.004715296415419312,0.0014497,0.0046336779371382785,0.004810925495112571,KmerZFs_6_1,155052
85,2500,0.004695839322182912,0.0014444,0.004618156014911668,0.004781351949559362,KmerZFs_6_1,151434
86,3000,0.004631326794835695,0.001441945,0.004565701435148792,0.004709375349049216,KmerZFs_6_1,147993
87,3500,0.00468879484280088,0.0014301,0.00459322246934241,0.004815607010125734,KmerZFs_6_1,145085
88,4000,0.004623058625469364,0.001429,0.004547127929639715,0.004705707261236846,KmerZFs_6_1,142088
89,4500,0.004583679745911308,0.0014287,0.004497476230329688,0.004681994731414545,KmerZFs_6_1,139319
90,5000,0.0045008890037510655,0.0014292,0.004422631988342419,0.004582956904080008,KmerZFs_6_1,136481
91,5500,0.004589228736933722,0.0014275,0.004496839131710211,0.004678864722350855,KmerZFs_6_1,133785
92,6000,0.004726815479416693,0.0014341,0.004623246033973087,0.00483095176162799,KmerZFs_6_1,131173
93,6500,0.0047740055925390296,0.001431,0.004660289490959521,0.004882866363372052,KmerZFs_6_1,128316
94,7000,0.004835218400719134,0.0014287,0.004721536288588127,0.004978491150338708,KmerZFs_6_1,125371
95,7500,0.004657234921752418,0.0014261,0.004537343984271208,0.004775592674548787,KmerZFs_6_1,123349
96,8000,0.0046345302474802876,0.001426743,0.004535802906106328,0.004762378190110291,KmerZFs_6_1,121013
97,8500,0.00464212315956031,0.0014194,0.004536433735195902,0.004732750709155498,KmerZFs_6_1,118496
98,9000,0.004625541744541334,0.0014182,0.004531317038896228,0.00474438246665412,KmerZFs_6_1,115896
99,9500,0.004727913713305927,0.0014108,0.00460797511459205,0.004856638868354693,KmerZFs_6_1,113472
100,0,0.005770489434521511,0.001485,0.0056724830353416765,0.005870025235815787,KmerZFs_7_0,202061
