,kind,distance,mean,low_ci,high_ci
98,KmerZFs_5_0,4500,0.00486508552062478,0.0045013044493948705,0.0053149092613068456
99,KmerZFs_5_0,4750,0.004722820008365187,0.0043932906153545895,0.005090106423779831
100,KmerZFs_5_0,5000,0.004710460635410695,0.004347219824778093,0.005084030064559354
101,KmerZFs_5_0,5250,0.004648879018974903,0.004354668880768021,0.0049750706046214795
102,KmerZFs_5_0,5500,0.004607688040022395,0.00428994600739521,0.00495515920651788
103,KmerZFs_5_0,5750,0.004592820496040203,0.004312037021197284,0.004922565614426567
104,KmerZFs_5_0,6000,0.004678433649904493,0.004403425450651718,0.004957886884937558
105,KmerZFs_5_0,6250,0.004581226916117757,0.0042812248270438025,0.004922384837583137
106,KmerZFs_5_0,6500,0.004633761356605263,0.004328773461140903,0.004950124113473876
107,KmerZFs_5_0,6750,0.004703649375239919,0.0044059821441242665,0.005023965236423883
108,KmerZFs_5_0,7000,0.0048320517628498445,0.004462654700177502,0.005274526887738475
109,KmerZFs_5_0,7250,0.004850721044712154,0.004450468592983301,0.005248741946198003
110,KmerZFs_5_0,7500,0.004918165416197818,0.00455070090811422,0.005303969342876696
111,KmerZFs_5_0,7750,0.004923243994227514,0.004508320743073362,0.005358852231413464
112,KmerZFs_5_0,8000,0.004790856755485089,0.004437304972238041,0.0051679405649424455
113,KmerZFs_5_0,8250,0.0048487290946273584,0.004432513658830524,0.005283323932808343
114,KmerZFs_5_0,8500,0.004860210284680066,0.004475263805956109,0.005343924132738917
115,KmerZFs_5_0,8750,0.005029779715221641,0.004630325546865757,0.005486029966151762
116,KmerZFs_5_0,9000,0.0048976039168915925,0.004531682688179579,0.0053039588982564286
117,KmerZFs_5_0,9250,0.004921272767968228,0.00457927456064914,0.005326165998605084
118,KmerZFs_5_0,9500,0.0048925566790966445,0.004539508053280327,0.0052891629950937765
119,KmerZFs_5_0,9750,0.004952473109178797,0.004628496647196362,0.005345273389358932
120,KmerZFs_6_0,0,0.005812549622505233,0.005008492043720758,0.006983488802795373
121,KmerZFs_6_0,250,0.0050610480330907665,0.004645512029774191,0.005554149376399952
122,KmerZFs_6_0,500,0.004989963251691203,0.004634183757547013,0.005551975215699844
123,KmerZFs_6_0,750,0.004853658708150688,0.004429684908810656,0.00527058577241666
124,KmerZFs_6_0,1000,0.004729837990850634,0.004336491585910759,0.005349610909695501
125,KmerZFs_6_0,1250,0.004664769189677586,0.004260703486907892,0.005116752701883759
126,KmerZFs_6_0,1500,0.004625874166677777,0.004283537987266027,0.005105888704022095
127,KmerZFs_6_0,1750,0.004564709571709621,0.0042139861186006825,0.004940804416945525
128,KmerZFs_6_0,2000,0.004571558030851309,0.004193053626922182,0.004999939877938314
129,KmerZFs_6_0,2250,0.004522971633721626,0.004197662827487004,0.00497354093058484
130,KmerZFs_6_0,2500,0.0044742481331181945,0.004091714600255274,0.0048843735310109635
131,KmerZFs_6_0,2750,0.004371233743976186,0.004069530942829927,0.004760563977747667
132,KmerZFs_6_0,3000,0.004434920278121614,0.004028920437612164,0.004898170953980431
133,KmerZFs_6_0,3250,0.004427950924598571,0.004051014061757554,0.004811315393011019
134,KmerZFs_6_0,3500,0.004480650082130121,0.004067961624763621,0.004962024744343018
135,KmerZFs_6_0,3750,0.00442728018443008,0.004085305634468279,0.004892855387671051
136,KmerZFs_6_0,4000,0.004496837581386152,0.0041218676121936035,0.004951982473824898
137,KmerZFs_6_0,4250,0.004543648707570236,0.004183203954446702,0.0048372095417059035
138,KmerZFs_6_0,4500,0.004600413160092912,0.004204093819089131,0.004939487498425013
139,KmerZFs_6_0,4750,0.004578484297562329,0.004172857264465442,0.004993420338513502
140,KmerZFs_6_0,5000,0.004518691528627574,0.004159630878499158,0.004899156821517108
141,KmerZFs_6_0,5250,0.004549577186705204,0.00420229344430925,0.005038183613566066
142,KmerZFs_6_0,5500,0.004506537669023032,0.004101563508601489,0.005037726388129923
143,KmerZFs_6_0,5750,0.00440067770793729,0.004042894175459301,0.004811406362862112
144,KmerZFs_6_0,6000,0.00458191427269781,0.004201262763052747,0.0050572234631806046
145,KmerZFs_6_0,6250,0.004632521262036045,0.004238028814866832,0.005068788300082458
146,KmerZFs_6_0,6500,0.004656450661407791,0.004224153954182896,0.005235114464365985
147,KmerZFs_6_0,6750,0.004572394788446113,0.004195857697089456,0.004904582897590014
148,KmerZFs_6_0,7000,0.004648368288302453,0.0043009743048611744,0.005114490484327338
149,KmerZFs_6_0,7250,0.004677255316373281,0.004246931963060522,0.005197421262101802
150,KmerZFs_6_0,7500,0.004736468871624998,0.004268889484267364,0.005274312014526496
151,KmerZFs_6_0,7750,0.004672402555140552,0.00431832261282933,0.005022518970392421
152,KmerZFs_6_0,8000,0.004699853011707587,0.004300750289121551,0.0051671068790290755
153,KmerZFs_6_0,8250,0.0046457151070075885,0.0042822895958282686,0.0050782476078018845
154,KmerZFs_6_0,8500,0.004566120253304378,0.004241610310105266,0.004888160183789341
155,KmerZFs_6_0,8750,0.004598238482757897,0.00425628006233651,0.004977789738591509
156,KmerZFs_6_0,9000,0.004565209923009625,0.004219679288550424,0.004922439942312536
157,KmerZFs_6_0,9250,0.004614773124042585,0.004297275040915405,0.004987450251891668
158,KmerZFs_6_0,9500,0.004572032475632094,0.004228320671373384,0.004869335205459117
