All PRDM9 Alleles_mean	All PRDM9 Alleles_025	All PRDM9 Alleles_975	PRDM9-Shared-11ZFs_mean	PRDM9-Shared-11ZFs_025	PRDM9-Shared-11ZFs_975	PRDM9-Shared-12ZFs_mean	PRDM9-Shared-12ZFs_025	PRDM9-Shared-12ZFs_975	PRDM9-Shared-5ZFs_mean	PRDM9-Shared-5ZFs_025	PRDM9-Shared-5ZFs_975	PRDM9-Shared-6ZFs-A_mean	PRDM9-Shared-6ZFs-A_025	PRDM9-Shared-6ZFs-A_975	PRDM9-Shared-6ZFs-B_mean	PRDM9-Shared-6ZFs-B_025	PRDM9-Shared-6ZFs-B_975	PRDM9-Shared-7ZFs-A_mean	PRDM9-Shared-7ZFs-A_025	PRDM9-Shared-7ZFs-A_975	PRDM9-Shared-7ZFs-B_mean	PRDM9-Shared-7ZFs-B_025	PRDM9-Shared-7ZFs-B_975	PRDM9-Shared-8ZFs_mean	PRDM9-Shared-8ZFs_025	PRDM9-Shared-8ZFs_975	PRDM9-Shared-9ZFs_mean	PRDM9-Shared-9ZFs_025	PRDM9-Shared-9ZFs_975
1.6275469872780755	1.6188656555468615	1.6395018392462601	1.196862475921835	1.169518093907243	1.2257509765489865	1.0844513358747128	1.065368778889237	1.10023165246555	1.0621400351187755	1.0453317853639115	1.0789242798485408	1.0408944071133372	1.0229302969866432	1.0687152027064506	1.0935907499302853	1.0809220267752733	1.1127997365645983	1.1127362042510935	1.0880149217360742	1.1463545996939493	1.0331439267150708	1.0141582681574415	1.048387531119581	1.100839894593596	1.0875804052512625	1.1265114213309024	1.2212484919112638	1.2022066339864113	1.245332286782307
1.6087649332067802	1.5995518329022602	1.621026007904126	1.184451168696386	1.1510207367039667	1.2071045871045991	1.0824838216839543	1.0647273046131067	1.096231025183818	1.0546384577902306	1.0359648459304374	1.0723023238234164	1.0320073362506461	1.0152067823924165	1.0584338022360231	1.0803967324471273	1.0670913337886694	1.0994481460766876	1.108363869178906	1.0805037561785609	1.1413275405539458	1.025994535028772	1.007070769729397	1.0445740925260862	1.0830528836176687	1.069319465769605	1.105183291399192	1.207626458072724	1.1902106089579	1.2303869739718114
1.5912325128502778	1.5821955779042902	1.6027888527015761	1.1696972876916105	1.1368799793805173	1.1903844798378733	1.0793645893991006	1.0643428597698246	1.0913234719932103	1.0485575492806731	1.0277984907137776	1.0657053114072381	1.0243485198072926	1.0057997244414727	1.0483978509184568	1.0680840292832114	1.051941953124217	1.0860777979006084	1.1055372738539668	1.0766882227079435	1.1341871531663368	1.0186238591516568	0.9995408386782946	1.037302905896022	1.0683795843145265	1.0554920065184537	1.0910611223143003	1.194256176015792	1.1804090638624711	1.214823513441269
1.5746275833039132	1.5662181655710619	1.5847576976188886	1.154010626867311	1.1259069300888853	1.1704484360777205	1.0748356739808413	1.0621605628095383	1.0905154851886056	1.0429348610442033	1.0219238127374675	1.0601953575889163	1.0179286511853753	1.0004218757459353	1.0406546041197855	1.056562715204805	1.0401857224322786	1.0727113297242712	1.1032591245577035	1.0712013212896412	1.1359549010619394	1.0112550691129467	0.9918414707229666	1.0275256515674673	1.0565046738033261	1.0441248940563774	1.0826105244952402	1.1818442180055526	1.1715003750758708	1.198774142900157
1.5589718859681443	1.5509553888071534	1.5688370093719748	1.1385752285382686	1.110717980879632	1.1538428117115784	1.0708982094203554	1.0602914117114315	1.0872033012255085	1.0367888658560611	1.0154783670754128	1.0542568106746106	1.0125229167916279	0.9971418938149246	1.0384932613725943	1.0461536110701404	1.0268829918217766	1.0598777115550218	1.0999387432624788	1.067435238462324	1.135064010488794	1.0035148093488508	0.9849254495321876	1.0202851172158602	1.0465099516202083	1.0339268556404198	1.0687939803524527	1.1705138286483743	1.159471667853812	1.184333387004872
1.5438396364238272	1.5347076519721823	1.5536291816940955	1.1230184458540977	1.098044179764074	1.137805790971288	1.0686540183139712	1.0573417839749284	1.0837776485483757	1.0298884604625977	1.0086818293817488	1.0472645602801156	1.0074440157550921	0.9927890186401467	1.0358086865121574	1.0368114573978415	1.0169645939721104	1.0492042708275064	1.0962446127369774	1.0664191234219709	1.1291654433107126	0.9956176696839024	0.9781322869572142	1.0130529368063843	1.0384850957663196	1.0231519133912048	1.0591971769237023	1.1603062305437828	1.1478067285167042	1.1745246735148158
1.5284607183904324	1.5194685882684904	1.5377753202875042	1.1078846557353144	1.0863048696838402	1.1233511892923882	1.067164044073206	1.0551611667325642	1.0808580328454116	1.0221512928469743	1.0036725348156397	1.040745782316859	1.0032045995140526	0.9879844820381426	1.0287727185986608	1.027531934915068	1.0112881776508325	1.0423890522379207	1.0916888346064995	1.0619724135432032	1.1209250410596199	0.9885031662245771	0.969960999156648	1.0052788595766626	1.032433773162824	1.0175404972569713	1.0527315289719905	1.1517977061917208	1.1400882090394588	1.1661276543010277
1.512923996834168	1.5038896016071992	1.5216244171596307	1.09566263841503	1.0772144085011508	1.1143188454422037	1.0649946971625124	1.0513558442496085	1.0795934878560065	1.0136520696339355	0.9955414572825775	1.0311474691246842	0.9999947289747371	0.9861751754811329	1.0203784618950564	1.020404427311435	1.0093490168258352	1.0371477273204244	1.086998550981639	1.059572506352207	1.113147135125298	0.9821948535414662	0.9634781381211831	0.9992958514388535	1.028003662456019	1.0094288125747848	1.04731041673564	1.1445857910489037	1.1322476267776551	1.1603070342062205
1.497349656012943	1.4879954942930604	1.5095111049287238	1.0879317672629478	1.073544070926515	1.1084121682295525	1.062152266721422	1.047658849928587	1.078276237171793	1.0042404230710098	0.9885663088986092	1.0219849319596657	0.996899041559237	0.980389240973143	1.01325284936652	1.0153305139663367	1.0032603972554024	1.031892494853365	1.081081605290645	1.0553535989648086	1.1050568700916081	0.9770359664525701	0.9589961520011475	0.9947902556920711	1.0236005086517488	1.0039917128218452	1.0391515264760949	1.138121165147021	1.1252596043743992	1.1554060595138629
1.4822469583872417	1.47304634106588	1.4957124097131205	1.0830730123666297	1.069220559431693	1.1029966844807688	1.060090579652868	1.0474833005354072	1.075188387610742	0.9952321005752257	0.9809843548765138	1.0149667114943943	0.9939261152234414	0.975527938858419	1.0108459605988092	1.0120386123514706	1.0004724169676342	1.0291824282876958	1.07427473431157	1.0497556976645173	1.0982710128303208	0.9728175314180727	0.9557175112024686	0.9879556643063779	1.0188874592112853	0.9997388472602196	1.0356346286871525	1.1328871955001465	1.1161137535625374	1.1509809137778606
