,distance,mean,nature,kind,low_ci,high_ci
16,4000,0.004496837581386151,total,KmerZFs_6_0,0.004071940919204499,0.004865705402505825
17,4250,0.004543648707570235,total,KmerZFs_6_0,0.004165419891797961,0.00488892946790341
18,4500,0.004600413160092912,total,KmerZFs_6_0,0.004194332661979925,0.004951656029213924
19,4750,0.004578484297562328,total,KmerZFs_6_0,0.0042070744413059856,0.004912283325176859
20,5000,0.004518691528627574,total,KmerZFs_6_0,0.004166017853060587,0.004873778891339307
21,5250,0.004549577186705205,total,KmerZFs_6_0,0.004217674950247688,0.004899802685159192
22,5500,0.004506537669023032,total,KmerZFs_6_0,0.004133400198997624,0.004910359333070188
23,5750,0.00440067770793729,total,KmerZFs_6_0,0.004052312533892991,0.00477306029745963
24,6000,0.00458191427269781,total,KmerZFs_6_0,0.004173319673142868,0.004990827233519435
25,6250,0.004632521262036046,total,KmerZFs_6_0,0.004181187089229113,0.0050324132258770865
26,6500,0.004656450661407792,total,KmerZFs_6_0,0.004219288828865702,0.005093364239547941
27,6750,0.004572394788446113,total,KmerZFs_6_0,0.004183221373379331,0.004946061291151101
28,7000,0.004648368288302454,total,KmerZFs_6_0,0.004231465225886484,0.005045305713223067
29,7250,0.004677255316373281,total,KmerZFs_6_0,0.004182731650514935,0.005095813556897837
30,7500,0.004736468871624998,total,KmerZFs_6_0,0.0042248273201290635,0.0051639248174935055
31,7750,0.004672402555140553,total,KmerZFs_6_0,0.004221450926030023,0.005079484544736125
32,8000,0.0046998530117075875,total,KmerZFs_6_0,0.004239148433180815,0.005111667075508729
33,8250,0.004645715107007588,total,KmerZFs_6_0,0.004251993948966063,0.0050083144691174
34,8500,0.004566120253304378,total,KmerZFs_6_0,0.004185368250281384,0.004865462521366638
35,8750,0.004598238482757897,total,KmerZFs_6_0,0.0042037421810860506,0.004942608742240059
36,9000,0.004565209923009626,total,KmerZFs_6_0,0.004143731622587563,0.004866653705394355
37,9250,0.004614773124042585,total,KmerZFs_6_0,0.004205843380615603,0.004974335613063458
38,9500,0.004572032475632093,total,KmerZFs_6_0,0.004180380586152047,0.004856148861964364
39,9750,0.004628899794545599,total,KmerZFs_6_0,0.004232545809999221,0.004945308140046695
0,0,0.00588338163482942,total,KmerZFs_6_1,0.005511084094149545,0.006353434309586978
1,250,0.005492350948515053,total,KmerZFs_6_1,0.005124494596636595,0.005853636667924721
2,500,0.005424763125250697,total,KmerZFs_6_1,0.005093095858615868,0.005832114476121409
3,750,0.005167797078549842,total,KmerZFs_6_1,0.004840221640933543,0.005517371485930636
4,1000,0.004980692998629852,total,KmerZFs_6_1,0.004700793276695359,0.005295668720582341
5,1250,0.004895468104824171,total,KmerZFs_6_1,0.004572894141298127,0.005298792463874653
6,1500,0.004738152341712781,total,KmerZFs_6_1,0.004445097304467254,0.00503999612531363
7,1750,0.004717251896581065,total,KmerZFs_6_1,0.004417641071101939,0.005051293123302952
8,2000,0.004691004489366953,total,KmerZFs_6_1,0.004365711228800985,0.005083179384430965
9,2250,0.004739806144177401,total,KmerZFs_6_1,0.0043915215664660735,0.005151460531994552
10,2500,0.0047316945386211475,total,KmerZFs_6_1,0.004394862807981005,0.005063680519924256
11,2750,0.004659408428893163,total,KmerZFs_6_1,0.004338779168820066,0.004999459969524329
12,3000,0.004666122029339681,total,KmerZFs_6_1,0.004348994178011238,0.004984745637927275
13,3250,0.004596187067095706,total,KmerZFs_6_1,0.004301837693143062,0.004925404343774862
14,3500,0.004656919593355693,total,KmerZFs_6_1,0.004315575129793761,0.004966304200809499
15,3750,0.004720989370246493,total,KmerZFs_6_1,0.004353267241846642,0.0051702082676814845
16,4000,0.004619510172792929,total,KmerZFs_6_1,0.00429076413517928,0.004963755868555718
17,4250,0.004626647767377922,total,KmerZFs_6_1,0.004268563149987764,0.004973000953392183
18,4500,0.004637862127712174,total,KmerZFs_6_1,0.004330733586577432,0.004981314685701342
19,4750,0.004528883317454549,total,KmerZFs_6_1,0.004204279012346605,0.004826041100177028
20,5000,0.004557870925725011,total,KmerZFs_6_1,0.004232158197297607,0.004909480662935613
21,5250,0.004443286645355983,total,KmerZFs_6_1,0.0041690411833409605,0.004767510175387671
22,5500,0.00458744816799725,total,KmerZFs_6_1,0.004260798039939558,0.004937401914490167
23,5750,0.004591029355272362,total,KmerZFs_6_1,0.004269014336164654,0.0049702748814223685
24,6000,0.004698616171543199,total,KmerZFs_6_1,0.004357481081734849,0.005034282333815847
25,6250,0.004755295216189237,total,KmerZFs_6_1,0.004375204342279701,0.0051627631708389115
26,6500,0.004720370269771229,total,KmerZFs_6_1,0.004349937677254464,0.005120760114185515
27,6750,0.004828217485571167,total,KmerZFs_6_1,0.004412064686662347,0.005252641090086837
28,7000,0.004873295687292404,total,KmerZFs_6_1,0.004495182843946188,0.005314662239713313
29,7250,0.004796842915956622,total,KmerZFs_6_1,0.004432569069665829,0.005241341212202109
30,7500,0.00465086028432024,total,KmerZFs_6_1,0.004298872495806637,0.0050014037382355514
31,7750,0.004663664888811865,total,KmerZFs_6_1,0.00434299340428993,0.005033322089067828
32,8000,0.004566306824409113,total,KmerZFs_6_1,0.004253002439151154,0.004907651403057475
33,8250,0.0047033959945951215,total,KmerZFs_6_1,0.004345103632813288,0.005067404485600262
34,8500,0.004578749305172681,total,KmerZFs_6_1,0.004276726572212379,0.004892497378998085
35,8750,0.004706137740278981,total,KmerZFs_6_1,0.004311420937516674,0.005035496378174857
36,9000,0.0045998400213380685,total,KmerZFs_6_1,0.004272721400669328,0.004907642283180259
37,9250,0.004651504697643084,total,KmerZFs_6_1,0.004271869466119326,0.004956103804693145
38,9500,0.004646346272823558,total,KmerZFs_6_1,0.004274387228534054,0.004989551663955859
39,9750,0.00481029023992033,total,KmerZFs_6_1,0.004421290463659088,0.005148970896270412
0,0,0.006126091935094144,total,KmerZFs_7_0,0.0054831022834594045,0.00699485068101813
1,250,0.005312829112880647,total,KmerZFs_7_0,0.0049936343295908705,0.00577172589631671
2,500,0.005231540843356893,total,KmerZFs_7_0,0.004887523324043204,0.005652161377647464
3,750,0.005008883885628633,total,KmerZFs_7_0,0.004706080936671873,0.005351233530308721
4,1000,0.0050411877764946844,total,KmerZFs_7_0,0.004673084429460234,0.005544583671540486
5,1250,0.004997007011863445,total,KmerZFs_7_0,0.004610106280184579,0.005478805675423061
6,1500,0.00496692306052589,total,KmerZFs_7_0,0.004563800593756727,0.005445468216140881
7,1750,0.0048814635368831655,total,KmerZFs_7_0,0.004486380253702213,0.005289870830199152
8,2000,0.004794801250233478,total,KmerZFs_7_0,0.0044500618480202946,0.005257170023797628
9,2250,0.004728558883296226,total,KmerZFs_7_0,0.004389622958360487,0.00521973580322201
10,2500,0.004640804049670129,total,KmerZFs_7_0,0.004347383863467817,0.005089112717800768
11,2750,0.004615034561717543,total,KmerZFs_7_0,0.004273979958699003,0.005020883113715476
12,3000,0.0047337543283517474,total,KmerZFs_7_0,0.004377775217563442,0.005184778609188344
13,3250,0.004723955823440093,total,KmerZFs_7_0,0.0044081379183157875,0.0050907656904709865
14,3500,0.004780577749921321,total,KmerZFs_7_0,0.004443101479573268,0.005163662845117863
15,3750,0.004806144898840978,total,KmerZFs_7_0,0.004425825525136612,0.005246638899887248
16,4000,0.0048537428134028315,total,KmerZFs_7_0,0.0044221418330583915,0.005364052856385658
17,4250,0.004746436500888691,total,KmerZFs_7_0,0.004385560031889198,0.005163932459662124
18,4500,0.004638742663446018,total,KmerZFs_7_0,0.004333099336378622,0.005000690065691808
19,4750,0.004570613219238222,total,KmerZFs_7_0,0.004244446051294392,0.00497470631122565
20,5000,0.004494414183710293,total,KmerZFs_7_0,0.004224568070400798,0.0048406553945465666
21,5250,0.004529570110847887,total,KmerZFs_7_0,0.004226347743991581,0.004906942245238329
22,5500,0.004598551383168124,total,KmerZFs_7_0,0.004306223898381389,0.004963401037936819
23,5750,0.004736479278757792,total,KmerZFs_7_0,0.004363842990394227,0.0051641701974626175
24,6000,0.004634927787764482,total,KmerZFs_7_0,0.004295363978789662,0.00502067004427443
25,6250,0.004790129019627951,total,KmerZFs_7_0,0.0044373171737478,0.005231897106732763
26,6500,0.004701873614101668,total,KmerZFs_7_0,0.004396808549524139,0.0051242663674041546
27,6750,0.004725243556269862,total,KmerZFs_7_0,0.004419133689368757,0.005172984416201002
28,7000,0.004732923766183155,total,KmerZFs_7_0,0.004392774333086669,0.005131583878146014
29,7250,0.004743107668907634,total,KmerZFs_7_0,0.004368916937723996,0.005159495875098897
30,7500,0.004682967282565505,total,KmerZFs_7_0,0.004376856646051851,0.005079281569008169
31,7750,0.0045644316073575305,total,KmerZFs_7_0,0.004297058825210183,0.004950325297959314
32,8000,0.004466324099016748,total,KmerZFs_7_0,0.004176409443220231,0.0048303421994777065
33,8250,0.004498182984602805,total,KmerZFs_7_0,0.004207882118113225,0.004903947119161418
34,8500,0.00447912896307961,total,KmerZFs_7_0,0.004202331439691928,0.004889946936137155
35,8750,0.004494462769016953,total,KmerZFs_7_0,0.004191374434387928,0.004887392038527613
36,9000,0.004433654536304938,total,KmerZFs_7_0,0.00412555039267864,0.004787390252934198
37,9250,0.0046075340123864095,total,KmerZFs_7_0,0.0042739846599304295,0.00502195789353946
38,9500,0.004619032280775708,total,KmerZFs_7_0,0.004243024095364305,0.005054043853728501
39,9750,0.004612199097680205,total,KmerZFs_7_0,0.004263643132508676,0.005018940231404248
0,0,0.005810450166919588,total,KmerZFs_7_1,0.005225626518295594,0.0065973283944479304
1,250,0.005160431732831701,total,KmerZFs_7_1,0.004857659516621642,0.005526442854992615
2,500,0.00511832787424136,total,KmerZFs_7_1,0.004770326933805666,0.005481707418963584
3,750,0.0050918152277958624,total,KmerZFs_7_1,0.004725609718561926,0.005437355697136642
4,1000,0.004938823191677198,total,KmerZFs_7_1,0.0046387506312420765,0.0052856441398094365
5,1250,0.004922072262769952,total,KmerZFs_7_1,0.0046015437748424814,0.005287426053866142
6,1500,0.00475250943432815,total,KmerZFs_7_1,0.004485467725075009,0.005121627292641017
7,1750,0.004731865988304882,total,KmerZFs_7_1,0.004452450545134229,0.005079353277829686
8,2000,0.0046838850496860205,total,KmerZFs_7_1,0.004451841507272967,0.005059703181447354
9,2250,0.004662553976870827,total,KmerZFs_7_1,0.004417116933860596,0.004991079356240293
10,2500,0.004804277123225405,total,KmerZFs_7_1,0.004506918731980694,0.005206167297834912
11,2750,0.004675987923845547,total,KmerZFs_7_1,0.004433457922884506,0.0049955338973826525
12,3000,0.004617199845540333,total,KmerZFs_7_1,0.004359006663798801,0.005021327839207411
13,3250,0.004658426851934264,total,KmerZFs_7_1,0.004388552223083097,0.005082012786751581
14,3500,0.004677551592567218,total,KmerZFs_7_1,0.004345200247987502,0.005123526411525382
