,distance,mean,nature,kind,low_ci,high_ci
8,4000,0.005427670697188013,total,KmerZFs_12_0,0.005038407722123344,0.005813002297950665
9,4500,0.005383193312451231,total,KmerZFs_12_0,0.005019282027277615,0.005838400010823856
10,5000,0.005336366270028765,total,KmerZFs_12_0,0.004986659019497177,0.00578759782083933
11,5500,0.005252382267573018,total,KmerZFs_12_0,0.004917722629243903,0.0056597087151095534
12,6000,0.005333825059832335,total,KmerZFs_12_0,0.004977428123825897,0.005739433382518493
13,6500,0.005401284250973353,total,KmerZFs_12_0,0.005034857400653402,0.005792714319320862
14,7000,0.005389683433079678,total,KmerZFs_12_0,0.005034472852620755,0.00577237919027118
15,7500,0.005372102553026986,total,KmerZFs_12_0,0.005035475482837786,0.005743730849519185
16,8000,0.005272311126634516,total,KmerZFs_12_0,0.004953192058948458,0.005668153787916181
17,8500,0.005217172896811875,total,KmerZFs_12_0,0.004897711534520993,0.0055401175435720925
18,9000,0.0051789689948009065,total,KmerZFs_12_0,0.004838254810630427,0.005533703047629382
19,9500,0.005139464192871976,total,KmerZFs_12_0,0.004828506139427313,0.005465758436125736
0,0,0.005995033901063492,total,KmerZFs_5_0,0.005494756861089035,0.006574593209606651
1,500,0.005326471998545947,total,KmerZFs_5_0,0.005001208467290495,0.0057135351999075806
2,1000,0.005122486981682569,total,KmerZFs_5_0,0.0047831655252183235,0.0055342380699371215
3,1500,0.00494976247549461,total,KmerZFs_5_0,0.004603898451215277,0.005333962198963653
4,2000,0.0048446143785242386,total,KmerZFs_5_0,0.004496600700616984,0.005234282726541689
5,2500,0.004973672829275733,total,KmerZFs_5_0,0.004570025989869537,0.005354154144428519
6,3000,0.004802415990428059,total,KmerZFs_5_0,0.004453940465419277,0.005158358318510899
7,3500,0.00476890394414191,total,KmerZFs_5_0,0.004354872294264795,0.00515619091839376
8,4000,0.004846355079586498,total,KmerZFs_5_0,0.004452915138223258,0.005169473849739991
9,4500,0.004794337352838148,total,KmerZFs_5_0,0.004414208247299774,0.005131430460575693
10,5000,0.004679835543540324,total,KmerZFs_5_0,0.004371824662479018,0.005010242780881335
11,5500,0.004600295545806772,total,KmerZFs_5_0,0.0043406214225785,0.004945621020984847
12,6000,0.00463010404215955,total,KmerZFs_5_0,0.004393727323100686,0.004938525101694239
13,6500,0.004668500705218948,total,KmerZFs_5_0,0.004389003460955519,0.004935044960501879
14,7000,0.004841327916055866,total,KmerZFs_5_0,0.004509542838905973,0.0051928441408283215
15,7500,0.004920691056719265,total,KmerZFs_5_0,0.004562151256901341,0.005273511757793442
16,8000,0.004819624175647271,total,KmerZFs_5_0,0.004426254608112242,0.00519366643749755
17,8500,0.004944510249749945,total,KmerZFs_5_0,0.004511923462803623,0.00533096459695144
18,9000,0.004909357814221293,total,KmerZFs_5_0,0.004556848728067912,0.005206258707670346
19,9500,0.004922336576077684,total,KmerZFs_5_0,0.00455199143934473,0.005304223077648748
0,0,0.005479023615582636,total,KmerZFs_6_0,0.0048952481889430206,0.006238990186853031
1,500,0.0049223701490762484,total,KmerZFs_6_0,0.00453599312199332,0.005371600980882958
2,1000,0.00469750708755735,total,KmerZFs_6_0,0.004309922319254868,0.0051034645315278
3,1500,0.004595518842602309,total,KmerZFs_6_0,0.004228579753931222,0.004998262894630223
4,2000,0.00454752079498002,total,KmerZFs_6_0,0.004230534947875595,0.004857845304471782
5,2500,0.0044233526946122715,total,KmerZFs_6_0,0.00410282623323836,0.004792561904143283
6,3000,0.004431465461590456,total,KmerZFs_6_0,0.004091563347401972,0.004790669778581602
7,3500,0.004454182380822431,total,KmerZFs_6_0,0.00411163296660062,0.004845127302957047
8,4000,0.00452007954707826,total,KmerZFs_6_0,0.0041554308247449,0.004854420424925141
9,4500,0.004589539799288866,total,KmerZFs_6_0,0.004235769549026356,0.0049212469490177504
10,5000,0.004534010161642066,total,KmerZFs_6_0,0.004168412552182101,0.00490248203113944
11,5500,0.004454008211043887,total,KmerZFs_6_0,0.004031868707292174,0.004835461620597468
12,6000,0.004607038183926807,total,KmerZFs_6_0,0.0041793886003895445,0.004974348454159116
13,6500,0.004614713137567265,total,KmerZFs_6_0,0.004230202218790183,0.005026533162395662
14,7000,0.004662705474365168,total,KmerZFs_6_0,0.004250250141798512,0.005069707538013867
15,7500,0.004704662773633969,total,KmerZFs_6_0,0.004306630729078607,0.005082582014679611
16,8000,0.004672989777684401,total,KmerZFs_6_0,0.004334206179297274,0.005024081371985044
17,8500,0.004582048676667229,total,KmerZFs_6_0,0.004257447434726385,0.004937988086774054
