,distance,mean,median,low_ci,high_ci,kind,nbins
99,4750,0.004722820008365187,0.0014638,0.004564350078139532,0.004899634895952877,KmerZFs_5_0,70364
100,5000,0.004710460635410695,0.0014620744,0.004569256749374429,0.004861702857951793,KmerZFs_5_0,69678
101,5250,0.004648879018974903,0.0014531000000000001,0.0045267004550319625,0.004783267066014072,KmerZFs_5_0,68932
102,5500,0.004607688040022395,0.00144895,0.004478136280997261,0.0047415813745793475,KmerZFs_5_0,68362
103,5750,0.004592820496040203,0.0014399,0.004456271768470812,0.004726433927449667,KmerZFs_5_0,67607
104,6000,0.004678433649904493,0.0014486,0.004552055653420438,0.0048121738834145614,KmerZFs_5_0,67042
105,6250,0.004581226916117757,0.0014328,0.004488601664370812,0.004687410085885836,KmerZFs_5_0,66291
106,6500,0.004633761356605263,0.0014457,0.004538868150931089,0.004738523411433303,KmerZFs_5_0,65691
107,6750,0.004703649375239919,0.00144255,0.004559092694755636,0.004839133665182158,KmerZFs_5_0,64926
108,7000,0.0048320517628498445,0.00144465,0.004658052168209035,0.005011555149658943,KmerZFs_5_0,64240
109,7250,0.004850721044712154,0.0014291500000000001,0.0046352783836028704,0.005058787853199977,KmerZFs_5_0,63440
110,7500,0.004918165416197818,0.0014277,0.004743331138180248,0.005120440302161337,KmerZFs_5_0,62942
111,7750,0.004923243994227514,0.0014288,0.004716818923092935,0.005184813933370458,KmerZFs_5_0,62269
112,8000,0.004790856755485089,0.0014287,0.0046654131573431335,0.004964964522935997,KmerZFs_5_0,61832
113,8250,0.0048487290946273584,0.0014281,0.004677494810432325,0.005076375418479969,KmerZFs_5_0,61115
114,8500,0.004860210284680066,0.0014312,0.004672094907097812,0.005082666341852889,KmerZFs_5_0,60423
115,8750,0.005029779715221641,0.0014333,0.004830800952940066,0.005235168499913716,KmerZFs_5_0,59736
116,9000,0.0048976039168915925,0.0014399500000000002,0.004731994531231136,0.005085039596771984,KmerZFs_5_0,59184
117,9250,0.004921272767968228,0.0014374,0.004744792501725959,0.005078488225666537,KmerZFs_5_0,58384
118,9500,0.0048925566790966445,0.0014516,0.004715615244468624,0.005059173794959107,KmerZFs_5_0,57884
119,9750,0.004952473109178797,0.0014493,0.0047749514691582985,0.005160859859322297,KmerZFs_5_0,57199
120,0,0.005812549622505233,0.0013772685,0.005632654465564727,0.006005133370473005,KmerZFs_6_0,129630
121,250,0.0050610480330907665,0.001364,0.004903362619813734,0.005210027623791757,KmerZFs_6_0,103439
